n,Latency (ms),Throughput (samples/s),batch_size,sampler,steps,height,width,POWER Avg,bandwidth_avg,npUtil_avg
0,2921.958135,0.342236252,1,square,20,512,512,99.80604027,373753.98159401334,69.25099115344406
1,6986.689072,0.143129312,1,square,50,512,512,103.6086053,390341.91995737044,70.81614217210331
2,2501.987505,0.399682252,2,square,20,512,512,112.9169643,447499.0542639878,72.06541257652452
3,5984.810898,0.167089657,2,square,50,512,512,113.2238333,466195.31616863335,73.75005541830285
4,2323.342129,0.430414439,4,square,20,512,512,115.0717149,495372.8035837347,72.7252553761307
5,5576.880527,0.179311713,4,square,50,512,512,117.2084559,520685.2506475998,74.00003248786687
6,9471.156602,0.105583726,1,square_l,20,768,768,116.6218263,555999.8449822424,78.25304933938462
7,23108.1032,0.043274863,1,square_l,50,768,768,116.5015098,574917.992076217,79.09070313786695
8,4981.844229,0.200728878,1,landscape,20,512,768,111.9973214,476015.15821496834,73.558000617596
9,12022.26699,0.083178988,1,landscape,50,512,768,113.5191667,493421.99411556515,74.8438328099764
10,4439.040166,0.225273925,2,landscape,20,512,768,116.2238307,539490.3801697263,77.07018118942416
11,10783.54492,0.092733884,2,landscape,50,512,768,118.6573739,559022.1546357948,78.06262607937033
12,4986.949014,0.200523406,1,portrait,20,768,512,110.6022321,473326.7020285704,73.44543485050467
13,12043.96318,0.083029148,1,portrait,50,768,512,112.8718333,494094.79035350936,74.7757631094494
14,4441.523486,0.225147971,2,portrait,20,768,512,116.0461024,540455.5925311391,77.08598474678081
15,10819.18549,0.0924284,2,portrait,50,768,512,116.6545195,558138.0180111869,77.66292716847279
16,6079.016982,0.164500281,1,portrait_l,20,768,576,113.8826087,498425.09044712153,74.56914611666961
17,14814.64715,0.067500764,1,portrait_l,50,768,576,111.4981742,515336.9983890005,75.3799093515164
18,5564.045439,0.179725347,2,portrait_l,20,768,576,117.3727758,548787.2369480046,78.58249195317431
19,13568.36105,0.073700869,2,portrait_l,50,768,576,119.3261288,564108.0823556044,79.31889158440433
20,6079.03125,0.164499895,1,landscape_l,20,576,768,110.4333333,499620.4051577369,74.56562555173008
21,14807.73471,0.067532274,1,landscape_l,50,576,768,112.9360955,515011.63662414585,75.41713299593438
22,5574.999775,0.179372205,2,landscape_l,20,576,768,116.4651246,548694.9664392375,78.35034706767176
23,13589.44832,0.073586505,2,landscape_l,50,576,768,117.9718727,564342.4577756211,79.16457717508976
24,6389.088564,0.156516847,1,tall,20,896,512,110.7785953,495875.82626057405,71.95855469034811
25,15573.91418,0.064209934,1,tall,50,896,512,112.216,515230.7377860677,72.74229571520166
26,6393.872451,0.156399742,1,widescreen,20,512,896,111.5210702,495452.114558451,71.9837558069444
27,15598.91754,0.064107012,1,widescreen,50,512,896,113.8026667,514615.0229935149,72.62473589961137
28,4404.37707,0.227046864,1,square,30,512,512,104.9946237,387753.8293502082,70.16073528718655
29,6934.253926,0.144211621,1,square,50,512,512,103.2436202,398074.0544023138,71.10247850975401
30,3845.397578,0.260051134,2,square,30,512,512,111.3240642,456027.6959414047,71.65323704910398
31,6065.543408,0.16486569,2,square,50,512,512,110.6463333,466742.0279457723,72.70946283019511
32,3508.879053,0.284991299,4,square,30,512,512,116.0172753,511893.03382691165,73.46991273952213
33,5683.239346,0.175955989,4,square,50,512,512,116.240675,512065.45922596194,72.61730913948355
34,14400.80699,0.069440553,1,square_l,30,768,768,117.741573,570733.3856242376,79.01777990639368
35,22843.62941,0.043775881,1,square_l,50,768,768,118.3087922,581252.8082204569,80.10370331867213
36,7503.618975,0.133269027,1,landscape,30,512,768,111.9925134,492196.9126260426,74.92879304947783
37,11954.92402,0.083647541,1,landscape,50,512,768,111.9758007,498742.4549539906,75.11728173154599
38,6722.826914,0.14874695,2,landscape,30,512,768,119.1142222,552547.2792092166,77.95230883350528
39,10739.73418,0.093112174,2,landscape,50,512,768,118.6862988,563067.6383261854,78.27069963300585
40,7504.229277,0.133258189,1,portrait,30,768,512,110.1649733,492023.8802368354,74.8632725672205
41,11942.439,0.083734989,1,portrait,50,768,512,113.4217082,500149.14713387756,75.23036322998647
42,6734.929766,0.148479648,2,portrait,30,768,512,118.6293333,552537.3791952861,77.87922663590975
43,10726.41998,0.09322775,2,portrait,50,768,512,118.5552807,562868.3001494659,78.38330409168086
44,9208.557773,0.108594638,1,portrait_l,30,768,576,113.8953229,513596.6461657782,75.52183049428425
45,14647.27123,0.068272102,1,portrait_l,50,768,576,113.9325843,517116.0541100331,76.14668753302732
46,8486.401191,0.117835579,2,portrait_l,30,768,576,118.3036364,561535.6803559066,78.94942483560479
47,13459.40928,0.074297466,2,portrait_l,50,768,576,117.0990377,567398.4874081875,79.83420827211923
48,9208.143926,0.108599519,1,landscape_l,30,576,768,113.3942094,513567.48030814005,75.5728287917734
49,14704.44305,0.068006656,1,landscape_l,50,576,768,114.1668539,519295.09025203343,75.90302404820912
50,8462.406758,0.118169692,2,landscape_l,30,576,768,118.0511515,561830.8122001191,79.03595244022772
51,13509.26188,0.074023289,2,landscape_l,50,576,768,118.2235381,569032.8524632882,79.43218959496923
52,9688.93332,0.103210536,1,tall,30,896,512,112.4798768,509755.315330629,72.77532860609168
53,15343.44053,0.065174431,1,tall,50,896,512,114.3757333,520016.5753292494,73.7978876578813
54,9665.319766,0.103462692,1,widescreen,30,512,896,104.7016667,510160.492160615,73.00210398460997
55,15125.80461,0.066112185,1,widescreen,50,512,896,114.8962667,527415.345964216,74.96622327341888
